,score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day
150,Good,Jet Set Radio,/games/jet-set-radio/vita-135073,PlayStation Vita,7.5,Action,N,2012,9,17
151,Good,Jet Set Radio,/games/jet-set-radio/ps3-129168,PlayStation 3,7.5,Action,N,2012,9,17
152,Good,Jet Set Radio,/games/jet-set-radio/xbox-360-129165,Xbox 360,7.5,Action,N,2012,9,17
153,Great,Pro Evolution Soccer 2013,/games/pro-evolution-soccer-2013/xbox-360-133009,Xbox 360,8.5,Sports,Y,2012,9,17
154,Amazing,F1 2012,/games/f1-2012/pc-130383,PC,9.0,Racing,Y,2012,9,17
155,Good,Darksiders II,/games/darksiders-2/xbox-360-14336768,Xbox 360,7.5,Action,N,2012,8,14
156,Good,Pitfall,/games/pitfall-working-title/iphone-137420,iPhone,7.0,Platformer,N,2012,8,13
157,Great,Dust: An Elysian Tail,/games/dust-an-elysian-tail-139696/xbox-360-77719,Xbox 360,8.5,Platformer,N,2012,8,13
158,Great,Hybrid,/games/hybrid-140542/xbox-360-37860,Xbox 360,8.0,Shooter,N,2012,8,13
159,Mediocre,The Dark Knight Rises,/games/the-dark-knight-rises/iphone-130653,iPhone,5.5,Action,N,2012,8,10
160,Good,10000000,/games/10000000/iphone-139135,iPhone,7.5,,N,2012,8,9
161,Okay,The Political Machine 2012,/games/the-political-machine-2012/pc-131306,PC,6.5,Strategy,N,2012,8,9
162,Amazing,Sound Shapes,/games/sound-shapes-queasy-games/ps3-135578,PlayStation 3,9.0,Platformer,Y,2012,8,8
163,Amazing,Sound Shapes,/games/sound-shapes-queasy-games/vita-110145,PlayStation Vita,9.0,Platformer,Y,2012,8,8
164,Okay,One Piece: Pirate Warriors,/games/one-piece-pirate-warriors/ps3-116782,PlayStation 3,6.0,Action,N,2012,10,8
165,Great,XCOM: Enemy Unknown,/games/xcom-enemy-unknown/ps3-126073,PlayStation 3,8.2,Strategy,N,2012,10,8
166,Amazing,Dishonored,/games/dishonored/xbox-360-112932,Xbox 360,9.2,Action,Y,2012,10,7
167,Amazing,Dishonored,/games/dishonored/pc-112928,PC,9.2,Action,Y,2012,10,7
168,Amazing,Dishonored,/games/dishonored/ps3-112931,PlayStation 3,9.2,Action,Y,2012,10,7
169,Good,Angry Birds Trilogy,/games/angry-birds-trilogy/3ds-82424,Nintendo 3DS,7.0,"Puzzle, Action",N,2012,10,6
170,Good,Angry Birds Trilogy,/games/angry-birds-trilogy/xbox-360-88826,Xbox 360,7.0,"Puzzle, Action",N,2012,10,6
171,Good,Angry Birds Trilogy,/games/angry-birds-trilogy/ps3-135852,PlayStation 3,7.0,"Puzzle, Action",N,2012,10,6
